donorID,score
D134242,0.23722022173048662
D126503,0.4352191149634324
D104392,0.46450115095604433
D105905,0.3891845784661826
D120506,0.21030629637314827
D128540,0.2209197654197211
D126159,0.4189914758899827
D141462,0.14711387051918012
D140682,0.7124090884491198
D133551,0.6885337920787723
D102019,0.4956188649211486
D105175,0.4956188649211486
D111013,0.88835599346947
D144019,0.19900460220975746
D131199,0.024236602233531742
D142468,0.11535888354579527
D121937,0.6956221143916974
D107681,0.21030629637314827
D113805,0.5864895061540073
D112360,0.4956188649211486
D114420,0.4956188649211486
D135378,0.13160480930560456
D138381,0.4644888801270768
D133011,0.4573807906628655
D136120,0.46114523471104163
D105054,0.03168698739007208
D110537,0.20881765245980513
D143137,0.12046484099236561
D133273,0.34508022594997734
D124016,0.47358124935784857
D109613,0.4644888801270768
D125090,0.4573807906628655
D134162,0.23722022173048662
D102042,0.6231261364814386
D136934,0.35844377210486833
D126262,0.4644888801270768
D113933,0.5353333975289566
D119380,0.20553985254611778
D100249,0.10797697671740268
D117440,0.4644888801270768
D131283,0.050858805649629565
D139543,0.14698193329183445
D111228,0.627026859164476
D135548,0.21030629637314827
D104585,0.4009259477009112
D102087,0.4583111656212122
D126860,0.21030629637314827
D120710,0.7277610549319826
D142371,0.18348206474066006
D125901,0.19510225643512116
D132052,0.2846095119036371
D110640,0.20553985254611778
D121011,0.7053403482771874
D110607,0.23722022173048662
D112443,0.07924121842687648
D110218,0.46945602150259935
D110015,0.20553985254611778
D127700,0.7081924183365308
D114247,0.46945602150259935
D122641,0.4009259477009112
D123227,0.46945602150259935
D103057,0.21030629637314827
D138110,0.046605013824714776
D103992,0.20553985254611778
D139274,0.4936577475786534
D133143,0.23722022173048662
D140608,0.21431472518441552
D137320,0.08783146623414927
D120195,0.4573807906628655
D144652,0.196517410439
D135074,0.5440769857518748
D120797,0.6917752764282042
D137241,0.6125090129668228
D123448,0.09851467609635399
D127181,0.19433869778764126
D143400,0.11391357789271532
D133585,0.19433869778764126
D129281,0.19433869778764126
D106420,0.21030629637314827
D120310,0.4644888801270768
D100875,0.4009259477009112
D129379,0.20881765245980513
D129171,0.10477624377917856
D135592,0.1602244388787648
D134625,0.23722022173048662
D101112,0.19433869778764126
D115541,0.4189914758899827
D117581,0.4573807906628655
D105378,0.20040359840727465
D102661,0.39062028636826435
D107960,0.4009259477009112
D122968,0.19433869778764126
D120026,0.4956188649211486
D122244,0.4009259477009112
D128645,0.06716220392397926
D133355,0.04348223289194749
D115905,0.856692150583563
D117502,0.21030629637314827
D116338,0.46114523471104163
D127497,0.6946354843344389
D125673,0.1455903318969657
D114453,0.12386590587667275
D123338,0.4009259477009112
D143900,0.1795831659139794
D132439,0.4644888801270768
D109393,0.4249152521762185
D128763,0.20881765245980513
D133177,0.21030629637314827
D124227,0.06367897240461687
D110430,0.20881765245980513
D126070,0.9113519867266917
D103038,0.16098636873536445
D140029,0.28034819327545485
D125784,0.4644888801270768
D123829,0.4956188649211486
D100711,0.4573807906628655
D104178,0.20553985254611778
D127045,0.4956188649211486
D109694,0.6946354843344389
D122069,0.46114523471104163
D106310,0.4635697262486175
D122041,0.22596809102114243
D115706,0.15704153059164813
D113290,0.19433869778764126
D100556,0.4573807906628655
D133029,0.20881765245980513
D139558,0.3652242867341409
D130931,0.3956112973211693
D142127,0.16098636873536445
D116669,0.4956188649211486
D119194,0.23722022173048662
D130875,0.7277610549319826
D135370,0.1813563080967579
D116520,0.185807808777262
D139370,0.5457339860991136
D127695,0.39062028636826435
D117497,0.4644888801270768
D109328,0.23722022173048662
D122865,0.04797913355951609
D113674,0.46945602150259935
D139537,0.6361952613407367
D138496,0.6917752764282042
D136521,0.21030629637314827
D130420,0.15178539635632754
D106548,0.21030629637314827
D115251,0.16098636873536445
